,,left_side,right_side,similarity
33,168,"Hotel Andra 2000 4th Ave, Seattle, WA 98121_0","W Seattle 1112 4th Ave, Seattle, WA 98101_0",0.210724586
33,169,"Hotel Andra 2000 4th Ave, Seattle, WA 98121_0","Stay Alfred on Wall Street 2515 4th Ave, Seattle, WA 98121_0",0.206511331
34,170,"Residence Inn by Marriott Seattle Downtown/Convention Center 1815 Terry Ave, Seattle, WA 98101_0","Residence Inn by Marriott Seattle Downtown/Convention Center 1815 Terry Ave, Seattle, WA 98101_0",1
34,171,"Residence Inn by Marriott Seattle Downtown/Convention Center 1815 Terry Ave, Seattle, WA 98101_0","Residence Inn by Marriott Seattle Downtown/Lake Union 800 Fairview Ave N, Seattle, WA 98109_0",0.362563946
34,172,"Residence Inn by Marriott Seattle Downtown/Convention Center 1815 Terry Ave, Seattle, WA 98101_0","Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0",0.184642601
34,173,"Residence Inn by Marriott Seattle Downtown/Convention Center 1815 Terry Ave, Seattle, WA 98101_0","Pan Pacific Seattle 2125 Terry Ave, Seattle, WA 98121_0",0.149937228
34,174,"Residence Inn by Marriott Seattle Downtown/Convention Center 1815 Terry Ave, Seattle, WA 98101_0","Homewood Suites by Hilton Seattle Convention Center Pike Street 1011 Pike St, Seattle, WA 98101_0",0.096124485
35,175,"Best Western Plus Pioneer Square Hotel Downtown 77 Yesler Way, Seattle, WA 98104_0","Best Western Plus Pioneer Square Hotel Downtown 77 Yesler Way, Seattle, WA 98104_0",1
35,176,"Best Western Plus Pioneer Square Hotel Downtown 77 Yesler Way, Seattle, WA 98104_0","Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0",0.118223128
35,177,"Best Western Plus Pioneer Square Hotel Downtown 77 Yesler Way, Seattle, WA 98104_0","Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0",0.11486711
35,178,"Best Western Plus Pioneer Square Hotel Downtown 77 Yesler Way, Seattle, WA 98104_0","Best Western Seattle Airport Hotel 20717 International Blvd, Seattle, WA 98198_0",0.082450957
35,179,"Best Western Plus Pioneer Square Hotel Downtown 77 Yesler Way, Seattle, WA 98104_0","Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0",0.071024471
36,180,"Travelodge Seattle by The Space Needle 200 6th Ave N, Seattle, WA 98109_0","Travelodge Seattle by The Space Needle 200 6th Ave N, Seattle, WA 98109_0",1
36,181,"Travelodge Seattle by The Space Needle 200 6th Ave N, Seattle, WA 98109_0","Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0",0.66997434
36,182,"Travelodge Seattle by The Space Needle 200 6th Ave N, Seattle, WA 98109_0","Executive Inn By The Space Needle 200 Taylor Ave N, Seattle, WA 98109_0",0.42831932
36,183,"Travelodge Seattle by The Space Needle 200 6th Ave N, Seattle, WA 98109_0","Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0",0.198883783
36,184,"Travelodge Seattle by The Space Needle 200 6th Ave N, Seattle, WA 98109_0","Inn at the WAC 1325 6th Ave, Seattle, WA 98101_0",0.138873857
37,185,"Homewood Suites by Hilton Seattle Convention Center Pike Street 1011 Pike St, Seattle, WA 98101_0","Homewood Suites by Hilton Seattle Convention Center Pike Street 1011 Pike St, Seattle, WA 98101_0",1
37,186,"Homewood Suites by Hilton Seattle Convention Center Pike Street 1011 Pike St, Seattle, WA 98101_0","Homewood Suites by Hilton Seattle Downtown 206 Western Ave W, Seattle, WA 98119_0",0.229872319
37,187,"Homewood Suites by Hilton Seattle Convention Center Pike Street 1011 Pike St, Seattle, WA 98101_0","Green Tortoise Hostel Seattle 105 Pike St, Seattle, WA 98101_0",0.194307286
37,188,"Homewood Suites by Hilton Seattle Convention Center Pike Street 1011 Pike St, Seattle, WA 98101_0","Homewood Suites by Hilton Seattle-Tacoma Airport/Tukwila 6955 Fort Dent Way, Tukwila, WA 98188_0",0.18132539
37,189,"Homewood Suites by Hilton Seattle Convention Center Pike Street 1011 Pike St, Seattle, WA 98101_0","Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0",0.14070171
38,190,"Hyatt Regency Seattle 808 Howell St, Seattle, WA 98101_0","Hyatt Regency Seattle 808 Howell St, Seattle, WA 98101_0",1
38,191,"Hyatt Regency Seattle 808 Howell St, Seattle, WA 98101_0","Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0",0.131533351
38,192,"Hyatt Regency Seattle 808 Howell St, Seattle, WA 98101_0","Hotel Seattle 316 Seneca St, Seattle, WA 98101_0",0.118322569
38,193,"Hyatt Regency Seattle 808 Howell St, Seattle, WA 98101_0","Thompson Seattle 110 Stewart St, Seattle, WA 98101_0",0.117989067
38,194,"Hyatt Regency Seattle 808 Howell St, Seattle, WA 98101_0","Palihotel Seattle 107 Pine St, Seattle, WA 98101_0",0.116149509
39,195,"Hotel Sorrento 900 Madison St, Seattle, WA 98104_0","Hotel Sorrento 900 Madison St, Seattle, WA 98104_0",1
39,196,"Hotel Sorrento 900 Madison St, Seattle, WA 98104_0","Renaissance Seattle Hotel 515 Madison St, Seattle, WA 98104_0",0.342184261
39,197,"Hotel Sorrento 900 Madison St, Seattle, WA 98104_0","The Baroness Hotel 1005 Spring St, Seattle, WA 98104_0",0.147638191
39,198,"Hotel Sorrento 900 Madison St, Seattle, WA 98104_0","Executive Hotel Pacific 400 Spring St, Seattle, WA 98104_0",0.146639162
39,199,"Hotel Sorrento 900 Madison St, Seattle, WA 98104_0","Panama Hotel and Tea House 605 S Main St, Seattle, WA 98104_0",0.122999236
40,200,"City Hostel Seattle 2327 2nd Ave, Seattle, WA 98121_0","City Hostel Seattle 2327 2nd Ave, Seattle, WA 98121_0",1
40,201,"City Hostel Seattle 2327 2nd Ave, Seattle, WA 98121_0","Kimpton Palladian Hotel 2000 2nd Ave, Seattle, WA 98121_0",0.22014705
40,202,"City Hostel Seattle 2327 2nd Ave, Seattle, WA 98121_0","Moore Hotel 1926 2nd Ave, Seattle, WA 98101_0",0.163563513
40,203,"City Hostel Seattle 2327 2nd Ave, Seattle, WA 98121_0","The State Hotel 1501 2nd Ave, Seattle, WA 98101_0",0.148111554
40,204,"City Hostel Seattle 2327 2nd Ave, Seattle, WA 98121_0","Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0",0.115813449
41,205,"Holiday Inn Express & Suites Seattle-City Center 226 Aurora Ave N, Seattle, WA 98109_0","Holiday Inn Express & Suites Seattle-City Center 226 Aurora Ave N, Seattle, WA 98109_0",1
41,206,"Holiday Inn Express & Suites Seattle-City Center 226 Aurora Ave N, Seattle, WA 98109_0","Holiday Inn Express & Suites Seattle City Center 226 Aurora Avenue North, Seattle, Washington 98109_0",0.712320966
41,207,"Holiday Inn Express & Suites Seattle-City Center 226 Aurora Ave N, Seattle, WA 98109_0","Holiday Inn Express & Suites North Seattle - Shoreline 14115 Aurora Ave N, Seattle, WA 98133_0",0.296717837
41,208,"Holiday Inn Express & Suites Seattle-City Center 226 Aurora Ave N, Seattle, WA 98109_0","Holiday Inn Seattle Downtown 211 Dexter Ave N, Seattle, WA 98109_0",0.140234043
41,209,"Holiday Inn Express & Suites Seattle-City Center 226 Aurora Ave N, Seattle, WA 98109_0","Staybridge Suites Seattle - Fremont 3926 Aurora Ave N, Seattle, WA 98103_0",0.122876687
42,210,"Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0","Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0",1
42,211,"Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0","Travelodge Seattle by The Space Needle 200 6th Ave N, Seattle, WA 98109_0",0.66997434
42,212,"Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0","Executive Inn By The Space Needle 200 Taylor Ave N, Seattle, WA 98109_0",0.336106332
42,213,"Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0","citizenM Seattle South Lake Union hotel 201 Westlake Avenue North, Seattle, Washington 98109_0",0.23122775
42,214,"Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0","Holiday Inn Express & Suites Seattle City Center 226 Aurora Avenue North, Seattle, Washington 98109_0",0.223329036
43,215,"Staybridge Suites Seattle - Fremont 3926 Aurora Ave N, Seattle, WA 98103_0","Staybridge Suites Seattle - Fremont 3926 Aurora Ave N, Seattle, WA 98103_0",1
43,216,"Staybridge Suites Seattle - Fremont 3926 Aurora Ave N, Seattle, WA 98103_0","Crown Inn Motel 9501 Aurora Ave N, Seattle, WA 98103_0",0.218437103
43,217,"Staybridge Suites Seattle - Fremont 3926 Aurora Ave N, Seattle, WA 98103_0","Hotel Hotel 3515 Fremont Ave N, Seattle, WA 98103_0",0.186967012
43,218,"Staybridge Suites Seattle - Fremont 3926 Aurora Ave N, Seattle, WA 98103_0","Travelodge by Wyndham Seattle North of Downtown 8512 Aurora Ave N, Seattle, WA 98103_0",0.175771116
43,219,"Staybridge Suites Seattle - Fremont 3926 Aurora Ave N, Seattle, WA 98103_0","Days Inn by Wyndham Seattle North of Downtown 9100 Aurora Ave N, Seattle, WA 98103_0",0.166754629
44,220,"Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0","Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0",1
44,221,"Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0","The Edgewater Hotel Seattle 2411 Alaskan Way, Seattle, WA 98121_0",0.08937157
44,222,"Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0","Seattle Marriott Waterfront 2100 Alaskan Way, Seattle, WA 98121_0",0.086252701
44,223,"Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0","Hyatt At Olive 8 1635 8th Ave, Seattle, WA 98101_0",0.082946363
44,224,"Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0","Hyatt At Olive 9 1635 8th Ave, Seattle, WA 98101_0",0.082946363
45,225,"The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0","The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0",1
45,226,"The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.192123062
45,227,"The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.192123062
45,228,"The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0","Inn at Queen Anne 505 1st Ave N, Seattle, WA 98109_0",0.158629802
45,229,"The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0","The Inn at Virginia Mason 1006 Spring St, Seattle, WA 98104_0",0.131645516
46,230,"Palihotel Seattle 107 Pine St, Seattle, WA 98101_0","Palihotel Seattle 107 Pine St, Seattle, WA 98101_0",1
46,231,"Palihotel Seattle 107 Pine St, Seattle, WA 98101_0","Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0",0.285484393
46,232,"Palihotel Seattle 107 Pine St, Seattle, WA 98101_0","Inn at the Market 86 Pine St, Seattle, WA 98101_0",0.265927506
46,233,"Palihotel Seattle 107 Pine St, Seattle, WA 98101_0","Hotel Seattle 316 Seneca St, Seattle, WA 98101_0",0.132468473
46,234,"Palihotel Seattle 107 Pine St, Seattle, WA 98101_0","Thompson Seattle 110 Stewart St, Seattle, WA 98101_0",0.1320951
47,235,"Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0","Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0",1
47,236,"Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0","Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0",0.25658234
47,237,"Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0","Residence Inn by Marriott Seattle Downtown/Lake Union 800 Fairview Ave N, Seattle, WA 98109_0",0.188693196
47,238,"Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0","Residence Inn by Marriott Seattle Downtown/Convention Center 1815 Terry Ave, Seattle, WA 98101_0",0.184642601
47,239,"Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0","Moore Hotel 1926 2nd Ave, Seattle, WA 98101_0",0.127085089
48,240,"The Arctic Club Seattle - a DoubleTree by Hilton Hotel 700 3rd Ave, Seattle, WA 98104_0","The Arctic Club Seattle - a DoubleTree by Hilton Hotel 700 3rd Ave, Seattle, WA 98104_0",1
48,241,"The Arctic Club Seattle - a DoubleTree by Hilton Hotel 700 3rd Ave, Seattle, WA 98104_0","DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0",0.212114769
48,242,"The Arctic Club Seattle - a DoubleTree by Hilton Hotel 700 3rd Ave, Seattle, WA 98104_0","Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0",0.09455033
48,243,"The Arctic Club Seattle - a DoubleTree by Hilton Hotel 700 3rd Ave, Seattle, WA 98104_0","Loews Hotel 1000, Seattle 1000 1st Ave, Seattle, WA 98104_0",0.086991249
48,244,"The Arctic Club Seattle - a DoubleTree by Hilton Hotel 700 3rd Ave, Seattle, WA 98104_0","Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0",0.078618229
49,245,"Sheraton Bellevue Hotel 100 112th Ave NE, Bellevue, WA 98004_0","Sheraton Bellevue Hotel 100 112th Ave NE, Bellevue, WA 98004_0",1
49,246,"Sheraton Bellevue Hotel 100 112th Ave NE, Bellevue, WA 98004_0","Econo Lodge Renton-Bellevue 4710 Lake Washington Blvd NE, Renton, WA 98056_0",0.058253602
49,247,"Sheraton Bellevue Hotel 100 112th Ave NE, Bellevue, WA 98004_0","Graduate Seattle 4507 Brooklyn Ave NE, Seattle, WA 98105_0",0.050279556
49,248,"Sheraton Bellevue Hotel 100 112th Ave NE, Bellevue, WA 98004_0","University Motel Suites 4731 12th Ave NE, Seattle, WA 98105_0",0.047066084
49,249,"Sheraton Bellevue Hotel 100 112th Ave NE, Bellevue, WA 98004_0","Travelodge by Wyndham Seattle University 4725 25th Ave NE, Seattle, WA 98105_0",0.042358829
50,250,"Inn at Queen Anne 505 1st Ave N, Seattle, WA 98109_0","Inn at Queen Anne 505 1st Ave N, Seattle, WA 98109_0",1
50,251,"Inn at Queen Anne 505 1st Ave N, Seattle, WA 98109_0","Mediterranean Inn 425 Queen Anne Ave N, Seattle, WA 98109_0",0.205991908
50,252,"Inn at Queen Anne 505 1st Ave N, Seattle, WA 98109_0","MarQueen Hotel 600 Queen Anne Ave N, Seattle, WA 98109_0",0.197250335
50,253,"Inn at Queen Anne 505 1st Ave N, Seattle, WA 98109_0","The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0",0.158629802
50,254,"Inn at Queen Anne 505 1st Ave N, Seattle, WA 98109_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.132181791
51,255,"Holiday Inn Express & Suites Seattle City Center 226 Aurora Avenue North, Seattle, Washington 98109_0","Holiday Inn Express & Suites Seattle City Center 226 Aurora Avenue North, Seattle, Washington 98109_0",1
51,256,"Holiday Inn Express & Suites Seattle City Center 226 Aurora Avenue North, Seattle, Washington 98109_0","Holiday Inn Express & Suites Seattle-City Center 226 Aurora Ave N, Seattle, WA 98109_0",0.712320966
51,257,"Holiday Inn Express & Suites Seattle City Center 226 Aurora Avenue North, Seattle, Washington 98109_0","Comfort Inn & Suites 13700 Aurora Avenue North, Seattle, Washington 98133_0",0.282053864
51,258,"Holiday Inn Express & Suites Seattle City Center 226 Aurora Avenue North, Seattle, Washington 98109_0","Holiday Inn Express & Suites North Seattle - Shoreline 14115 Aurora Ave N, Seattle, WA 98133_0",0.244487101
51,259,"Holiday Inn Express & Suites Seattle City Center 226 Aurora Avenue North, Seattle, Washington 98109_0","Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0",0.223329036
52,260,"Aloft Seattle Redmond 15220 NE Shen Street, Redmond, WA 98052_0","Aloft Seattle Redmond 15220 NE Shen Street, Redmond, WA 98052_0",1
52,261,"Aloft Seattle Redmond 15220 NE Shen Street, Redmond, WA 98052_0","Hotel Seattle 315 Seneca Street, Seattle, WA 98101_0",0.024303849
52,262,"Aloft Seattle Redmond 15220 NE Shen Street, Redmond, WA 98052_0","Graduate Seattle 4507 Brooklyn Ave NE, Seattle, WA 98105_0",0.021856774
52,263,"Aloft Seattle Redmond 15220 NE Shen Street, Redmond, WA 98052_0","Roy Street Commons 621 12th Ave E, Seattle, WA 98102_0",0.021334503
52,264,"Aloft Seattle Redmond 15220 NE Shen Street, Redmond, WA 98052_0","Warwick Seattle 401 Lenora Street Seattle, Washington 98121_0",0.020550346
53,265,"Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0","Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0",1
53,266,"Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0","Clarion Hotel Seattle Airport 3000 S 176th St, Seattle, WA 98188_0",0.327896017
53,267,"Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0","La Quinta by Wyndham Seattle Sea-Tac Airport 2824 S 188th St, Seattle, WA 98188_0",0.109802766
53,268,"Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0","Country Inn & Suites by Radisson, Seattle-Tacoma International Airport 3100 S 192nd St, Seattle, WA 98188_0",0.105736939
53,269,"Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.097932355
54,270,"Hilton Seattle Airport & Conference Center 17620 International Blvd, Seattle, WA 98188_0","Hilton Seattle Airport & Conference Center 17620 International Blvd, Seattle, WA 98188_0",1
54,271,"Hilton Seattle Airport & Conference Center 17620 International Blvd, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.248270252
54,272,"Hilton Seattle Airport & Conference Center 17620 International Blvd, Seattle, WA 98188_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.248159038
54,273,"Hilton Seattle Airport & Conference Center 17620 International Blvd, Seattle, WA 98188_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",0.244028028
54,274,"Hilton Seattle Airport & Conference Center 17620 International Blvd, Seattle, WA 98188_0","DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0",0.236271575
55,275,"Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",1
55,276,"Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.265333306
55,277,"Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.265214449
55,278,"Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0","Hilton Seattle Airport & Conference Center 17620 International Blvd, Seattle, WA 98188_0",0.244028028
55,279,"Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0","DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0",0.236348518
56,280,"Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",1
56,281,"Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0","DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0",0.293295855
56,282,"Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.269824981
56,283,"Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",0.265333306
56,284,"Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0","Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0",0.264795834
57,285,"DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0","DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0",1
57,286,"DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.293295855
57,287,"DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.240349526
57,288,"DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",0.236348518
57,289,"DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0","Hilton Seattle Airport & Conference Center 17620 International Blvd, Seattle, WA 98188_0",0.236271575
58,290,"Ramada by Wyndham SeaTac Airport 16720 International Blvd, SeaTac, WA 98188_0","Ramada by Wyndham SeaTac Airport 16720 International Blvd, SeaTac, WA 98188_0",1
58,291,"Ramada by Wyndham SeaTac Airport 16720 International Blvd, SeaTac, WA 98188_0","Econo Lodge SeaTac Airport North 13910 Tukwila International Blvd, Seattle, WA 98168_0",0.117002066
58,292,"Ramada by Wyndham SeaTac Airport 16720 International Blvd, SeaTac, WA 98188_0","Red Roof Inn Seattle Airport - SEATAC 16838 International Blvd, Seattle, WA 98188_0",0.116238597
58,293,"Ramada by Wyndham SeaTac Airport 16720 International Blvd, SeaTac, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.086779904
58,294,"Ramada by Wyndham SeaTac Airport 16720 International Blvd, SeaTac, WA 98188_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.086741031
59,295,"La Quinta by Wyndham Seattle Sea-Tac Airport 2824 S 188th St, Seattle, WA 98188_0","La Quinta by Wyndham Seattle Sea-Tac Airport 2824 S 188th St, Seattle, WA 98188_0",1
59,296,"La Quinta by Wyndham Seattle Sea-Tac Airport 2824 S 188th St, Seattle, WA 98188_0","Motel 6 Seattle Sea-Tac Airport South 18900 47th Ave S, Seattle, WA 98188_0",0.244128534
59,297,"La Quinta by Wyndham Seattle Sea-Tac Airport 2824 S 188th St, Seattle, WA 98188_0","Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0",0.111639379
59,298,"La Quinta by Wyndham Seattle Sea-Tac Airport 2824 S 188th St, Seattle, WA 98188_0","Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0",0.109802766
59,299,"La Quinta by Wyndham Seattle Sea-Tac Airport 2824 S 188th St, Seattle, WA 98188_0","Clarion Hotel Seattle Airport 3000 S 176th St, Seattle, WA 98188_0",0.103141064
60,300,"Clarion Hotel Seattle Airport 3000 S 176th St, Seattle, WA 98188_0","Clarion Hotel Seattle Airport 3000 S 176th St, Seattle, WA 98188_0",1
60,301,"Clarion Hotel Seattle Airport 3000 S 176th St, Seattle, WA 98188_0","Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0",0.327896017
60,302,"Clarion Hotel Seattle Airport 3000 S 176th St, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.149469577
60,303,"Clarion Hotel Seattle Airport 3000 S 176th St, Seattle, WA 98188_0","DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0",0.133141645
60,304,"Clarion Hotel Seattle Airport 3000 S 176th St, Seattle, WA 98188_0","Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0",0.120204061
61,305,"Best Western Seattle Airport Hotel 20717 International Blvd, Seattle, WA 98198_0","Best Western Seattle Airport Hotel 20717 International Blvd, Seattle, WA 98198_0",1
61,306,"Best Western Seattle Airport Hotel 20717 International Blvd, Seattle, WA 98198_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.176492004
61,307,"Best Western Seattle Airport Hotel 20717 International Blvd, Seattle, WA 98198_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.169396465
61,308,"Best Western Seattle Airport Hotel 20717 International Blvd, Seattle, WA 98198_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",0.166576586
61,309,"Best Western Seattle Airport Hotel 20717 International Blvd, Seattle, WA 98198_0","DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0",0.157212165
62,310,"Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0","Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0",1
62,311,"Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.264795834
62,312,"Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0","DoubleTree by Hilton Hotel Seattle Airport 18740 International Blvd, Seattle, WA 98188_0",0.235869758
62,313,"Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.216994383
62,314,"Red Lion Hotel Seattle Airport Sea-Tac 18220 International Blvd, Seattle, WA 98188_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",0.213382159
63,315,"Cedarbrook Lodge 18525 36th Ave S, Seattle, WA 98188_0","Cedarbrook Lodge 18525 36th Ave S, Seattle, WA 98188_0",1
63,316,"Cedarbrook Lodge 18525 36th Ave S, Seattle, WA 98188_0","Motel 6 Seattle Sea-Tac Airport South 18900 47th Ave S, Seattle, WA 98188_0",0.100306241
63,317,"Cedarbrook Lodge 18525 36th Ave S, Seattle, WA 98188_0","Seattle Airport Marriott 3201 S 176th St, Seattle, WA 98188_0",0.06323067
63,318,"Cedarbrook Lodge 18525 36th Ave S, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.061295573
63,319,"Cedarbrook Lodge 18525 36th Ave S, Seattle, WA 98188_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.061268115
64,320,"Red Roof Inn Seattle Airport - SEATAC 16838 International Blvd, Seattle, WA 98188_0","Red Roof Inn Seattle Airport - SEATAC 16838 International Blvd, Seattle, WA 98188_0",1
64,321,"Red Roof Inn Seattle Airport - SEATAC 16838 International Blvd, Seattle, WA 98188_0","Hampton Inn Seattle-Airport 19445 International Blvd, Seattle, WA 98188_0",0.291647893
64,322,"Red Roof Inn Seattle Airport - SEATAC 16838 International Blvd, Seattle, WA 98188_0","Radisson Hotel Seattle Airport 18118 International Blvd, Seattle, WA 98188_0",0.228924647
64,323,"Red Roof Inn Seattle Airport - SEATAC 16838 International Blvd, Seattle, WA 98188_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",0.225012984
